ProductID	Product	Subcategory	Category	Color	Description
BK-M68S-42	"Mountain-200 Silver, 42"	Mountain Bikes	Bikes	Silver	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M68S-46	"Mountain-200 Silver, 46"	Mountain Bikes	Bikes	Silver	Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.
BK-M82B-38	"Mountain-100 Black, 38"	Mountain Bikes	Bikes	Black	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82B-42	"Mountain-100 Black, 42"	Mountain Bikes	Bikes	Black	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82B-44	"Mountain-100 Black, 44"	Mountain Bikes	Bikes	Black	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82B-48	"Mountain-100 Black, 48"	Mountain Bikes	Bikes	Black	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82S-38	"Mountain-100 Silver, 38"	Mountain Bikes	Bikes	Silver	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82S-42	"Mountain-100 Silver, 42"	Mountain Bikes	Bikes	Silver	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82S-44	"Mountain-100 Silver, 44"	Mountain Bikes	Bikes	Silver	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-M82S-48	"Mountain-100 Silver, 48"	Mountain Bikes	Bikes	Silver	"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain."
BK-R19B-44	"Road-750 Black, 44"	Road Bikes	Bikes	Black	Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R19B-48	"Road-750 Black, 48"	Road Bikes	Bikes	Black	Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R19B-52	"Road-750 Black, 52"	Road Bikes	Bikes	Black	Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R19B-58	"Road-750 Black, 58"	Road Bikes	Bikes	Black	Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.
BK-R50B-44	"Road-650 Black, 44"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50B-48	"Road-650 Black, 48"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50B-52	"Road-650 Black, 52"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50B-58	"Road-650 Black, 58"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50B-60	"Road-650 Black, 60"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50B-62	"Road-650 Black, 62"	Road Bikes	Bikes	Black	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-44	"Road-650 Red, 44"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-48	"Road-650 Red, 48"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-52	"Road-650 Red, 52"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-58	"Road-650 Red, 58"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-60	"Road-650 Red, 60"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R50R-62	"Road-650 Red, 62"	Road Bikes	Bikes	Red	"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for."
BK-R64Y-38	"Road-550-W Yellow, 38"	Road Bikes	Bikes	Yellow	"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-40	"Road-550-W Yellow, 40"	Road Bikes	Bikes	Yellow	"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-42	"Road-550-W Yellow, 42"	Road Bikes	Bikes	Yellow	"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-44	"Road-550-W Yellow, 44"	Road Bikes	Bikes	Yellow	"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R64Y-48	"Road-550-W Yellow, 48"	Road Bikes	Bikes	Yellow	"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing."
BK-R68R-44	"Road-450 Red, 44"	Road Bikes	Bikes	Red	"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
BK-R68R-48	"Road-450 Red, 48"	Road Bikes	Bikes	Red	"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
BK-R68R-52	"Road-450 Red, 52"	Road Bikes	Bikes	Red	"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
BK-R68R-58	"Road-450 Red, 58"	Road Bikes	Bikes	Red	"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
BK-R68R-60	"Road-450 Red, 60"	Road Bikes	Bikes	Red	"A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads."
BK-R79Y-40	"Road-350-W Yellow, 40"	Road Bikes	Bikes	Yellow	"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-42	"Road-350-W Yellow, 42"	Road Bikes	Bikes	Yellow	"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-44	"Road-350-W Yellow, 44"	Road Bikes	Bikes	Yellow	"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R79Y-48	"Road-350-W Yellow, 48"	Road Bikes	Bikes	Yellow	"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day."
BK-R89B-44	"Road-250 Black, 44"	Road Bikes	Bikes	Black	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-48	"Road-250 Black, 48"	Road Bikes	Bikes	Black	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-52	"Road-250 Black, 52"	Road Bikes	Bikes	Black	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89B-58	"Road-250 Black, 58"	Road Bikes	Bikes	Black	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89R-44	"Road-250 Red, 44"	Road Bikes	Bikes	Red	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89R-48	"Road-250 Red, 48"	Road Bikes	Bikes	Red	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89R-52	"Road-250 Red, 52"	Road Bikes	Bikes	Red	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R89R-58	"Road-250 Red, 58"	Road Bikes	Bikes	Red	"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads."
BK-R93R-44	"Road-150 Red, 44"	Road Bikes	Bikes	Red	"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
BK-R93R-48	"Road-150 Red, 48"	Road Bikes	Bikes	Red	"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
BK-R93R-52	"Road-150 Red, 52"	Road Bikes	Bikes	Red	"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
BK-R93R-56	"Road-150 Red, 56"	Road Bikes	Bikes	Red	"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
BK-R93R-62	"Road-150 Red, 62"	Road Bikes	Bikes	Red	"This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control."
BK-T18U-44	"Touring-3000 Blue, 44"	Touring Bikes	Bikes	Blue	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-50	"Touring-3000 Blue, 50"	Touring Bikes	Bikes	Blue	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-54	"Touring-3000 Blue, 54"	Touring Bikes	Bikes	Blue	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-58	"Touring-3000 Blue, 58"	Touring Bikes	Bikes	Blue	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18U-62	"Touring-3000 Blue, 62"	Touring Bikes	Bikes	Blue	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-44	"Touring-3000 Yellow, 44"	Touring Bikes	Bikes	Yellow	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-50	"Touring-3000 Yellow, 50"	Touring Bikes	Bikes	Yellow	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-54	"Touring-3000 Yellow, 54"	Touring Bikes	Bikes	Yellow	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-58	"Touring-3000 Yellow, 58"	Touring Bikes	Bikes	Yellow	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T18Y-62	"Touring-3000 Yellow, 62"	Touring Bikes	Bikes	Yellow	"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip."
BK-T44U-46	"Touring-2000 Blue, 46"	Touring Bikes	Bikes	Blue	"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T44U-50	"Touring-2000 Blue, 50"	Touring Bikes	Bikes	Blue	"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T44U-54	"Touring-2000 Blue, 54"	Touring Bikes	Bikes	Blue	"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T44U-60	"Touring-2000 Blue, 60"	Touring Bikes	Bikes	Blue	"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded."
BK-T79U-46	"Touring-1000 Blue, 46"	Touring Bikes	Bikes	Blue	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-50	"Touring-1000 Blue, 50"	Touring Bikes	Bikes	Blue	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-54	"Touring-1000 Blue, 54"	Touring Bikes	Bikes	Blue	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79U-60	"Touring-1000 Blue, 60"	Touring Bikes	Bikes	Blue	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-46	"Touring-1000 Yellow, 46"	Touring Bikes	Bikes	Yellow	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-50	"Touring-1000 Yellow, 50"	Touring Bikes	Bikes	Yellow	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-54	"Touring-1000 Yellow, 54"	Touring Bikes	Bikes	Yellow	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
BK-T79Y-60	"Touring-1000 Yellow, 60"	Touring Bikes	Bikes	Yellow	Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.
CA-1098	AWC Logo Cap	Caps	Clothing	Multi	Traditional style with a flip-up brim; one-size fits all.
CH-0234	Chain	Chains	Components	Silver	Superior shifting performance.
CL-9009	Bike Wash - Dissolver	Cleaners	Accessories	NA	"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
CS-4759	LL Crankset	Cranksets	Components	Black	Super rigid spindle.
CS-6583	ML Crankset	Cranksets	Components	Black	High-strength crank arm.
CS-9183	HL Crankset	Cranksets	Components	Black	Triple crankset; alumunim crank arm; flawless shifting.
FB-9873	Front Brakes	Brakes	Components	Silver	All-weather brake pads; provides superior stopping by applying more surface to the rim.
FD-2342	Front Derailleur	Derailleurs	Components	Silver	Wide-link design.
FE-6654	Fender Set - Mountain	Fenders	Accessories	NA	Clip-on fenders fit most mountain bikes.
FK-1639	LL Fork	Forks	Components	NA	Stout design absorbs shock and offers more precise steering.
FK-5136	ML Fork	Forks	Components	NA	Composite road fork with an aluminum steerer tube.
FK-9939	HL Fork	Forks	Components	NA	High-performance carbon road fork with curved legs.
FR-M21B-40	"LL Mountain Frame - Black, 40"	Mountain Frames	Components	Black	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-42	"LL Mountain Frame - Black, 42"	Mountain Frames	Components	Black	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-44	"LL Mountain Frame - Black, 44"	Mountain Frames	Components	Black	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-48	"LL Mountain Frame - Black, 48"	Mountain Frames	Components	Black	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21B-52	"LL Mountain Frame - Black, 52"	Mountain Frames	Components	Black	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-40	"LL Mountain Frame - Silver, 40"	Mountain Frames	Components	Silver	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-42	"LL Mountain Frame - Silver, 42"	Mountain Frames	Components	Silver	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-44	"LL Mountain Frame - Silver, 44"	Mountain Frames	Components	Silver	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-48	"LL Mountain Frame - Silver, 48"	Mountain Frames	Components	Silver	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M21S-52	"LL Mountain Frame - Silver, 52"	Mountain Frames	Components	Silver	"Our best value utilizing the same, ground-breaking frame technology as the ML aluminum frame."
FR-M63B-38	"ML Mountain Frame - Black, 38"	Mountain Frames	Components	Black	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63B-40	"ML Mountain Frame - Black, 40"	Mountain Frames	Components	Black	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
FR-M63B-44	"ML Mountain Frame - Black, 44"	Mountain Frames	Components	Black	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
FR-M63B-48	"ML Mountain Frame - Black, 48"	Mountain Frames	Components	Black	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Women's version.
FR-M63S-38	"ML Mountain Frame-W - Silver, 38"	Mountain Frames	Components	Silver	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63S-40	"ML Mountain Frame-W - Silver, 40"	Mountain Frames	Components	Silver	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63S-42	"ML Mountain Frame-W - Silver, 42"	Mountain Frames	Components	Silver	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M63S-46	"ML Mountain Frame-W - Silver, 46"	Mountain Frames	Components	Silver	The ML frame is a heat-treated aluminum frame made with the same detail and quality as our HL frame. It offers superior performance. Men's version.
FR-M94B-38	"HL Mountain Frame - Black, 38"	Mountain Frames	Components	Black	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-42	"HL Mountain Frame - Black, 42"	Mountain Frames	Components	Black	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-44	"HL Mountain Frame - Black, 44"	Mountain Frames	Components	Black	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-46	"HL Mountain Frame - Black, 46"	Mountain Frames	Components	Black	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94B-48	"HL Mountain Frame - Black, 48"	Mountain Frames	Components	Black	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-38	"HL Mountain Frame - Silver, 38"	Mountain Frames	Components	Silver	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-42	"HL Mountain Frame - Silver, 42"	Mountain Frames	Components	Silver	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-44	"HL Mountain Frame - Silver, 44"	Mountain Frames	Components	Silver	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-46	"HL Mountain Frame - Silver, 46"	Mountain Frames	Components	Silver	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-M94S-52	"HL Mountain Frame - Silver, 48"	Mountain Frames	Components	Silver	Each frame is hand-crafted in our Bothell facility to the optimum diameter and wall-thickness required of a premium mountain frame. The heat-treated welded aluminum frame has a larger diameter tube that absorbs the bumps.
FR-R38B-44	"LL Road Frame - Black, 44"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-48	"LL Road Frame - Black, 48"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-52	"LL Road Frame - Black, 52"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-58	"LL Road Frame - Black, 58"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-60	"LL Road Frame - Black, 60"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38B-62	"LL Road Frame - Black, 62"	Road Frames	Components	Black	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-44	"LL Road Frame - Red, 44"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-48	"LL Road Frame - Red, 48"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-52	"LL Road Frame - Red, 52"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-58	"LL Road Frame - Red, 58"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-60	"LL Road Frame - Red, 60"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R38R-62	"LL Road Frame - Red, 62"	Road Frames	Components	Red	"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame."
FR-R72R-44	"ML Road Frame - Red, 44"	Road Frames	Components	Red	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
FR-R72R-48	"ML Road Frame - Red, 48"	Road Frames	Components	Red	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
FR-R72R-52	"ML Road Frame - Red, 52"	Road Frames	Components	Red	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
FR-R72R-58	"ML Road Frame - Red, 58"	Road Frames	Components	Red	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
FR-R72R-60	"ML Road Frame - Red, 60"	Road Frames	Components	Red	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version."
FR-R72Y-38	"ML Road Frame-W - Yellow, 38"	Road Frames	Components	Yellow	"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Women's version."
